iter	Passed	Remaining
399	55161	82742
400	55291	82591
401	55399	82410
402	55526	82256
403	55658	82110
404	55784	81955
405	55916	81808
406	56048	81662
407	56171	81503
408	56293	81343
409	56412	81179
410	56541	81028
411	56719	80949
412	56910	80887
413	57071	80782
414	57218	80656
415	57398	80577
416	57550	80459
417	57695	80331
418	57867	80241
419	58108	80245
420	58353	80252
421	58537	80176
422	58698	80069
423	58855	79955
424	58991	79811
425	59108	79644
426	59283	79553
427	59439	79437
428	59571	79290
429	59708	79147
430	59815	78967
431	59942	78813
432	60061	78648
433	60231	78550
434	60398	78449
435	60553	78330
436	60691	78190
437	60846	78071
438	61022	77981
439	61168	77850
440	61308	77712
441	61483	77619
442	61652	77517
443	61790	77377
444	61939	77250
445	62107	77146
446	62278	77047
447	62463	76963
448	62596	76816
449	62747	76691
450	62897	76564
451	63048	76439
452	63293	76427
453	63475	76338
454	63640	76229
455	63792	76103
456	63941	75973
457	64108	75866
458	64274	75757
459	64444	75652
460	64633	75569
461	64779	75436
462	64920	75296
463	65088	75188
464	65246	75068
465	65401	74944
466	65593	74863
467	65756	74749
468	65917	74631
469	66071	74506
470	66242	74400
471	66414	74294
472	66573	74174
473	66700	74017
474	66829	73864
475	66962	73715
476	67122	73595
477	67277	73470
478	67428	73341
479	67561	73191
480	67688	73035
481	67849	72917
482	67981	72766
483	68112	72616
484	68249	72471
485	68452	72396
486	68605	72268
487	68723	72103
488	68872	71970
489	69031	71849
490	69152	71688
491	69276	71529
492	69422	71393
493	69561	71251
494	69698	71106
495	69837	70964
496	69967	70812
497	70097	70660
498	70238	70520
499	70357	70357
500	70484	70202
501	70601	70038
502	70874	70028
503	71042	69914
504	71177	69768
505	71315	69623
506	71434	69461
507	71554	69300
508	71674	69140
509	71805	68989
510	71939	68841
511	72072	68693
512	72255	68593
513	72381	68438
514	72508	68285
515	72715	68205
516	73025	68223
517	73238	68148
518	73427	68051
519	73640	67975
520	73844	67891
521	74188	67935
522	74319	67783
523	74462	67641
524	74636	67527
525	74812	67416
526	74963	67282
527	75081	67118
528	75196	66951
529	75332	66804
530	75479	66666
531	75621	66524
532	75747	66367
533	75901	66235
534	76024	66077
535	76151	65922
536	76288	65776
537	76410	65616
538	76539	65463
539	76669	65310
540	76816	65173
541	76955	65028
542	77097	64886
543	77223	64731
544	77349	64576
545	77486	64430
546	77611	64274
547	77759	64137
548	77899	63994
549	78040	63850
550	78187	63713
551	78346	63585
552	78465	63424
553	78614	63288
554	78820	63198
555	78962	63056
556	79102	62912
557	79251	62776
558	79398	62638
559	79526	62484
560	79688	62358
561	79860	62239
562	80005	62100
563	80148	61959
564	80281	61809
565	80415	61661
566	80618	61565
567	80828	61475
568	81002	61357
569	81189	61248
570	81330	61104
571	81497	60980
572	81658	60851
573	81829	60730
574	81985	60598
575	82183	60496
576	82450	60444
577	82579	60291
578	83934	61029
579	84319	61059
580	84507	60944
581	84693	60828
582	84927	60745
583	85329	60782
584	85494	60649
585	85667	60522
586	85824	60383
587	85995	60255
588	86182	60137
589	86333	59994
590	86471	59842
591	86692	59747
592	86908	59649
593	87050	59499
594	87178	59339
595	87324	59192
596	87449	59031
597	87584	58877
598	87731	58732
599	87864	58576
600	87994	58418
601	88137	58270
602	88254	58104
603	88388	57949
604	88522	57795
605	88671	57651
606	88797	57491
607	88926	57334
608	89055	57176
609	89194	57026
610	89410	56924
611	89549	56773
612	89679	56616
613	89815	56463
614	89959	56316
615	90101	56167
616	90255	56025
617	90565	55980
618	90771	55870
619	90908	55718
620	91029	55555
621	91158	55398
622	91318	55259
623	91435	55095
624	91569	54941
625	91696	54783
626	91824	54625
627	91942	54462
628	92068	54304
629	92199	54148
630	92346	54002
631	92575	53904
632	92708	53750
633	92838	53594
634	92964	53436
635	93093	53279
636	93219	53122
637	93347	52965
638	93482	52812
639	93605	52652
640	93728	52493
641	93856	52337
642	93976	52176
643	94098	52017
644	94230	51863
645	94371	51714
646	94569	51596
647	94700	51442
648	94830	51287
649	94960	51132
650	95091	50978
651	95234	50830
652	95370	50679
653	95503	50526
654	95635	50372
655	95757	50214
656	95886	50059
657	96012	49903
658	96137	49746
659	96266	49591
660	96396	49437
661	96524	49282
662	96644	49124
663	96754	48960
664	96878	48803
665	97016	48654
666	97142	48498
667	97275	48346
668	97399	48190
669	97548	48046
670	97674	47890
671	97801	47736
672	97932	47583
673	98049	47424
674	98183	47273
675	98319	47123
676	98440	46966
677	98574	46815
678	98698	46660
679	98824	46505
680	98950	46351
681	99077	46197
682	99209	46046
683	99339	45893
684	99463	45738
685	99673	45622
686	99811	45474
687	99958	45330
688	100069	45169
689	100201	45017
690	100351	44874
691	100483	44724
692	100617	44573
693	100737	44417
694	100857	44261
695	100985	44108
696	101113	43955
697	101273	43817
698	101400	43664
699	101521	43509
700	101656	43359
701	101772	43202
702	101903	43051
703	102038	42902
704	102153	42745
705	102289	42596
706	102421	42446
707	102608	42318
708	102775	42182
709	102925	42039
710	103069	41894
711	103193	41741
712	103328	41592
713	103446	41436
714	103565	41281
715	103697	41131
716	103821	40978
717	103936	40821
718	104069	40672
719	104213	40527
720	104347	40378
721	104479	40228
722	104594	40072
723	104809	39955
724	104934	39802
725	105065	39652
726	105192	39501
727	105351	39362
728	105504	39220
729	105650	39076
730	105801	38933
731	105916	38778
732	106034	38623
733	106165	38474
734	106302	38326
735	106439	38179
736	106563	38027
737	106693	37877
738	106817	37725
739	106941	37574
740	107055	37418
741	107173	37265
742	107301	37115
743	107431	36965
744	107565	36817
745	107690	36666
746	107808	36513
747	107953	36369
748	108086	36221
749	108217	36072
750	108353	35925
751	108474	35773
752	108600	35623
753	108722	35471
754	108839	35318
755	108976	35172
756	109099	35021
757	109227	34871
758	109350	34721
759	109485	34574
760	109607	34423
761	109718	34268
762	109878	34129
763	110024	33986
764	110150	33837
765	110278	33688
766	110405	33539
767	110547	33394
768	110688	33249
769	110812	33099
770	110930	32948
771	111075	32804
772	111221	32661
773	111340	32510
774	111461	32359
775	111603	32215
776	111738	32069
777	111868	31921
778	111996	31773
779	112143	31630
780	112249	31475
781	112372	31326
782	112496	31177
783	112651	31036
784	112790	30891
785	112910	30741
786	113030	30591
787	113174	30448
788	113291	30297
789	113404	30145
790	113531	29997
791	113668	29852
792	113797	29705
793	113921	29556
794	114062	29412
795	114190	29264
796	114395	29137
797	114533	28992
798	114664	28845
799	114792	28698
800	114991	28568
801	115132	28424
802	115271	28279
803	115410	28134
804	115546	27989
805	115702	27848
806	115824	27700
807	115954	27553
808	116061	27401
809	116184	27253
810	116307	27104
811	116439	26958
812	116572	26813
813	116692	26664
814	116827	26519
815	116975	26376
816	117104	26230
817	117229	26082
818	117367	25938
819	117487	25789
820	117618	25644
821	117743	25496
822	117886	25353
823	118024	25209
824	118161	25064
825	118330	24926
826	118471	24782
827	118589	24634
828	118698	24484
829	118828	24338
830	118954	24191
831	119092	24047
832	119234	23904
833	119362	23757
834	119482	23610
835	119587	23459
836	119738	23318
837	119861	23171
838	120050	23037
839	120197	22894
840	120326	22748
841	120459	22603
842	120598	22460
843	120730	22315
844	120867	22170
845	121003	22026
846	121139	21882
847	121270	21737
848	121402	21592
849	121542	21448
850	121673	21303
851	121812	21159
852	121931	21012
853	122058	20867
854	122179	20720
855	122321	20577
856	122445	20431
857	122591	20289
858	122774	20152
859	122915	20009
860	123042	19863
861	123184	19720
862	123304	19574
863	123438	19430
864	123575	19286
865	123879	19168
866	124006	19022
867	124134	18877
868	124267	18733
869	124382	18585
870	124498	18438
871	124635	18295
872	124792	18154
873	124943	18012
874	125052	17864
875	125319	17739
876	125447	17594
877	125586	17450
878	125727	17307
879	125884	17166
880	126053	17026
881	126206	16884
882	126339	16740
883	126453	16593
884	126585	16449
885	126724	16305
886	126961	16174
887	127175	16040
888	127322	15897
889	127467	15754
890	127589	15608
891	127733	15465
892	127879	15322
893	128017	15178
894	128176	15037
895	128310	14893
896	128452	14749
897	128583	14605
898	128710	14460
899	128846	14316
900	129004	14174
901	129169	14033
902	129326	13892
903	129488	13750
904	129642	13608
905	129793	13466
906	129950	13324
907	130109	13182
908	130334	13047
909	130515	12908
910	130658	12764
911	130822	12623
912	130968	12480
913	131181	12343
914	131337	12200
915	131511	12059
916	131678	11918
917	131841	11776
918	131985	11633
919	132171	11493
920	132339	11351
921	132502	11209
922	132682	11068
923	132881	10929
924	133010	10784
925	133169	10642
926	133315	10498
927	133453	10354
928	133603	10210
929	133755	10067
930	133878	9922
931	134030	9779
932	134210	9637
933	134361	9494
934	134498	9350
935	134640	9206
936	134777	9061
937	134990	8922
938	135250	8786
939	135505	8649
940	135765	8512
941	135951	8370
942	136189	8232
943	136409	8092
944	136578	7949
945	136732	7805
946	136901	7661
947	137045	7517
948	137180	7372
949	137311	7226
950	137449	7082
951	137595	6937
952	137728	6792
953	137876	6648
954	137996	6502
955	138142	6358
956	138281	6213
957	138436	6069
958	138600	5925
959	138778	5782
960	138933	5638
961	139076	5493
962	139221	5349
963	139346	5203
964	139490	5059
965	139623	4914
966	139764	4769
967	139915	4625
968	140097	4481
969	140270	4338
970	140422	4193
971	140565	4049
972	140735	3905
973	140872	3760
974	140993	3615
975	141119	3470
976	141265	3325
977	141432	3181
978	141594	3037
979	141708	2892
980	141840	2747
981	141979	2602
982	142127	2457
983	142260	2313
984	142412	2168
985	142555	2024
986	142692	1879
987	142795	1734
988	143063	1591
989	143205	1446
990	143333	1301
991	143464	1156
992	143699	1012
993	143901	868
994	144042	723
995	144249	579
996	144394	434
997	144547	289
998	144712	144
999	144918	0
